Geography,year_built,Median_Income,Median_rent,Estimate..Total.,No_schooling,Nursery_school,Kindergarten,X1st_grade,X2nd.grade,X3rd.grade,X4th.grade,X5th.grade,X6th.grade,X7th.grade,X8th.grade,X9th.grade,X10th.grade,X11th.grade,X12th.grade..no.diploma,Regular.high.school.diploma,GED.or.alternative.credential,Some.college..less.than.1.year,Some.college..1.or.more.years..no.degree,Associate.s.degree,Bachelor.s.degree,Master.s.degree,Professional.school.degree,Doctorate.degree
"Block Group 3, Census Tract 109, Champaign County, Illinois",1970,56771,339,524,0,0,0,0,0,0,0,0,0,0,12,0,0,0,9,112,33,49,59,30,163,57,0,0
"Block Group 1, Census Tract 54.02, Champaign County, Illinois",1993,31528,503,665,23,0,0,0,0,0,0,0,0,31,27,0,56,8,21,140,31,47,129,49,70,11,10,12
"Block Group 1, Census Tract 7, Champaign County, Illinois",1987,34375,508,504,16,0,0,0,0,0,0,24,0,0,44,0,0,0,10,317,0,37,18,12,26,0,0,0
"Block Group 3, Census Tract 53, Champaign County, Illinois",1963,34452,552,620,0,0,0,0,0,0,0,0,0,0,0,21,0,70,0,262,0,45,6,140,32,29,0,15
"Block Group 4, Census Tract 104, Champaign County, Illinois",1974,69491,552,758,10,0,0,0,0,0,0,0,0,0,0,0,10,49,16,231,35,63,141,56,119,15,11,2
"Block Group 2, Census Tract 102.04, Champaign County, Illinois",1954,67639,583,463,14,0,0,0,0,0,0,0,0,23,0,0,0,0,18,182,28,30,37,61,70,0,0,0
"Block Group 2, Census Tract 104, Champaign County, Illinois",1968,66719,605,577,6,0,0,0,0,0,0,0,0,2,0,0,4,5,5,190,14,54,102,28,81,83,0,3
"Block Group 5, Census Tract 104, Champaign County, Illinois",1975,50990,607,850,16,0,0,0,0,0,0,0,3,0,6,4,8,13,9,382,43,60,135,68,67,36,0,0
"Block Group 1, Census Tract 53, Champaign County, Illinois",2002,7813,608,983,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,150,0,21,151,91,212,240,51,30
"Block Group 2, Census Tract 55, Champaign County, Illinois",1992,,622,928,30,0,0,0,0,0,0,0,0,0,0,0,0,0,24,137,103,14,128,87,153,139,13,100
"Block Group 1, Census Tract 4.01, Champaign County, Illinois",1977,,644,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,30,0,26,2,0,0
"Block Group 7, Census Tract 109, Champaign County, Illinois",,62429,648,809,2,0,0,0,2,0,0,0,0,0,18,1,43,12,6,262,17,43,172,135,74,21,1,0
"Block Group 3, Census Tract 102.04, Champaign County, Illinois",1967,55588,656,703,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,224,60,101,182,43,36,25,10,0
"Block Group 3, Census Tract 54.01, Champaign County, Illinois",1972,49861,665,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,21,90,81,67,165,0,31
"Block Group 2, Census Tract 57.01, Champaign County, Illinois",1971,32208,669,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,70,85,81,26,239,96,12,140
"Block Group 2, Census Tract 101, Champaign County, Illinois",1970,20299,670,630,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,125,18,82,170,25,101,68,0,0
"Block Group 2, Census Tract 53, Champaign County, Illinois",1959,38309,672,222,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,15,0,12,131,20,15,0,0,0
"Block Group 4, Census Tract 108, Champaign County, Illinois",1969,67083,683,605,0,0,0,0,0,0,0,0,0,0,0,8,3,0,4,189,38,41,114,65,100,43,0,0
"Block Group 2, Census Tract 14, Champaign County, Illinois",1998,67875,683,2403,0,0,0,0,0,0,0,0,11,0,33,0,0,0,33,191,21,88,85,128,903,598,110,202
"Block Group 2, Census Tract 60, Champaign County, Illinois",1968,25417,687,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,8,160,84,28,74
"Block Group 4, Census Tract 102.04, Champaign County, Illinois",1956,45962,693,781,0,0,0,0,0,0,27,0,49,0,0,94,7,0,8,206,50,117,102,114,7,0,0,0
"Block Group 5, Census Tract 55, Champaign County, Illinois",1942,70625,698,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,29,63,14,118,119,8,12
"Block Group 5, Census Tract 10, Champaign County, Illinois",1966,25040,703,868,0,0,0,0,0,0,0,10,0,0,17,0,8,13,0,197,0,34,124,115,307,43,0,0
"Block Group 3, Census Tract 110, Champaign County, Illinois",1954,34031,710,421,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,52,0,29,35,28,140,57,17,23
"Block Group 2, Census Tract 103, Champaign County, Illinois",1958,33295,712,1116,0,0,0,0,0,0,0,0,0,0,17,23,24,38,7,190,87,165,246,85,183,43,0,8
"Block Group 1, Census Tract 54.01, Champaign County, Illinois",1970,12574,713,269,0,0,0,0,0,0,0,0,0,0,0,0,66,9,0,75,10,34,47,0,28,0,0,0
"Block Group 8, Census Tract 109, Champaign County, Illinois",1964,69583,713,553,6,0,0,0,0,0,0,0,0,0,0,0,6,4,2,194,24,29,74,88,95,16,15,0
"Block Group 2, Census Tract 9.02, Champaign County, Illinois",1988,37462,718,1127,0,0,0,0,0,0,0,0,0,0,5,14,5,4,0,143,19,101,143,213,276,186,18,0
"Block Group 4, Census Tract 110, Champaign County, Illinois",1952,39000,719,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,64,36,26,189,72,0,71
"Block Group 2, Census Tract 9.01, Champaign County, Illinois",1964,29239,724,1227,10,0,0,0,0,0,0,9,16,0,11,0,87,100,17,359,76,114,273,42,60,37,0,16
"Block Group 3, Census Tract 104, Champaign County, Illinois",1977,68235,727,725,0,0,0,0,0,0,0,0,0,0,12,2,15,10,3,259,23,79,92,80,106,35,9,0
"Block Group 4, Census Tract 54.01, Champaign County, Illinois",1976,36471,735,386,21,0,0,0,0,0,0,0,0,0,25,19,0,0,0,149,19,50,58,7,25,0,13,0
"Block Group 5, Census Tract 58, Champaign County, Illinois",,65536,741,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,40,8,14,91,83,21,288
"Block Group 1, Census Tract 104, Champaign County, Illinois",1968,60625,743,486,0,0,0,0,0,0,0,0,3,0,8,0,2,20,5,166,47,57,76,47,35,17,3,0
"Block Group 1, Census Tract 3.01, Champaign County, Illinois",1982,8340,745,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,12,15,120,41,0,29
"Block Group 5, Census Tract 54.01, Champaign County, Illinois",1982,29946,747,536,0,0,0,0,0,0,0,0,1,0,0,7,0,1,10,129,0,53,131,29,147,15,0,13
"Block Group 1, Census Tract 57.01, Champaign County, Illinois",1973,36473,748,879,0,0,0,0,0,0,0,0,0,0,13,0,15,0,0,159,15,14,54,45,315,210,0,39
"Block Group 4, Census Tract 105, Champaign County, Illinois",1965,58162,750,1164,0,1,0,0,0,0,0,0,0,2,5,6,1,14,7,302,93,109,246,117,190,59,0,12
"Block Group 5, Census Tract 56, Champaign County, Illinois",1994,58778,750,1646,10,0,0,0,0,0,0,0,10,0,16,0,55,11,24,281,59,0,252,187,433,166,32,110
"Block Group 2, Census Tract 56, Champaign County, Illinois",1963,57054,755,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,16,22,90,13,74,78,21,0
"Block Group 1, Census Tract 12.06, Champaign County, Illinois",1975,94583,762,921,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,102,29,51,173,68,254,140,52,39
"Block Group 3, Census Tract 7, Champaign County, Illinois",1965,38788,763,975,21,0,0,0,0,0,0,0,0,0,14,0,31,84,18,297,118,86,89,63,64,49,26,15
"Block Group 1, Census Tract 111, Champaign County, Illinois",1968,24375,767,453,0,0,0,0,0,0,0,0,7,0,0,8,0,10,14,56,8,36,38,8,101,101,7,59
"Block Group 4, Census Tract 101, Champaign County, Illinois",1957,47794,768,1145,20,0,0,0,0,0,0,0,0,0,0,0,2,90,0,451,30,92,131,90,146,71,0,22
"Block Group 3, Census Tract 108, Champaign County, Illinois",1961,65000,771,553,14,0,0,0,0,0,0,0,0,0,3,4,4,0,8,116,11,70,82,108,95,19,4,15
"Block Group 4, Census Tract 5, Champaign County, Illinois",1955,81343,774,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,220,45,203,92,31,99
"Block Group 1, Census Tract 110, Champaign County, Illinois",1962,41579,778,661,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,50,0,0,147,0,176,172,42,62
"Block Group 1, Census Tract 9.01, Champaign County, Illinois",1961,41406,780,557,17,0,0,0,0,0,0,0,0,0,0,8,17,12,0,151,29,16,89,74,98,27,0,19
"Block Group 1, Census Tract 60, Champaign County, Illinois",1967,20875,784,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,8,4,0,129,172,79,108
"Block Group 1, Census Tract 55, Champaign County, Illinois",1970,44231,792,404,22,0,0,0,0,0,0,0,0,0,0,0,16,0,0,21,0,71,57,8,78,47,84,0
"Block Group 5, Census Tract 110, Champaign County, Illinois",,38952,796,548,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,73,6,26,120,13,88,40,82,94
"Block Group 5, Census Tract 108, Champaign County, Illinois",1949,63750,800,981,0,0,0,0,0,0,0,0,0,0,13,5,15,5,2,309,50,142,177,85,100,51,13,14
"Block Group 2, Census Tract 54.01, Champaign County, Illinois",1963,34401,803,674,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,171,0,52,115,16,165,52,0,50
"Block Group 2, Census Tract 3.02, Champaign County, Illinois",1987,,810,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,14,0,38,67,183,0,0
