GEOID,Block,Geography,Population,White,Black,Asian,OtherRace,Male,Female,Young,Middle,Old
170190002001000,Block 1000,"Block 1000, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0
170190002001001,Block 1001,"Block 1001, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0
170190002001002,Block 1002,"Block 1002, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0
170190002001003,Block 1003,"Block 1003, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0
170190002001004,Block 1004,"Block 1004, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0
170190002001005,Block 1005,"Block 1005, Block Group 1, Census Tract 2, Champaign County, Illinois",2,0,2,0,0,1,1,0,1,0
170190002001006,Block 1006,"Block 1006, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,1,0,0
170190002001007,Block 1007,"Block 1007, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0
170190002001008,Block 1008,"Block 1008, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0
170190002001009,Block 1009,"Block 1009, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0
170190002001010,Block 1010,"Block 1010, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0
170190002001011,Block 1011,"Block 1011, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0
170190002001012,Block 1012,"Block 1012, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0
170190002001013,Block 1013,"Block 1013, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,0,0,0
170190002001014,Block 1014,"Block 1014, Block Group 1, Census Tract 2, Champaign County, Illinois",101,4,95,0,0,38,63,31,30,7
170190002001015,Block 1015,"Block 1015, Block Group 1, Census Tract 2, Champaign County, Illinois",11,0,11,0,0,2,9,34,4,1
170190002001016,Block 1016,"Block 1016, Block Group 1, Census Tract 2, Champaign County, Illinois",0,0,0,0,0,0,0,5,0,0
170190002001017,Block 1017,"Block 1017, Block Group 1, Census Tract 2, Champaign County, Illinois",22,2,15,0,3,7,15,3,12,0
170190002001018,Block 1018,"Block 1018, Block Group 1, Census Tract 2, Champaign County, Illinois",22,0,22,0,0,9,13,11,13,0
170190002001019,Block 1019,"Block 1019, Block Group 1, Census Tract 2, Champaign County, Illinois",78,0,78,0,0,39,39,26,26,15
170190002001020,Block 1020,"Block 1020, Block Group 1, Census Tract 2, Champaign County, Illinois",39,6,31,0,0,16,23,26,15,3
